"site","longitude","latitude","annual_temp","annual_prec","gsl"
"820520",6.57864817047567,44.6817844526713,59.3067761756952,778.032616847415,177
"820521",6.52315773779149,44.6024611193336,91.6703491581291,598.838153031772,201
"820522",6.51056915556834,44.602861945562,86.116960101483,638.314687361872,201
"820523",6.51000919974534,44.5938683178551,93.5427007806084,605.502429029424,171
"820524",6.51000919974534,44.5938683178551,93.5427007806084,605.502429029424,171
"820525",6.50833040285251,44.5668876121884,100.779950272818,594.173824372795,171
"820528",6.49519240688387,44.5582931706253,101.806835007053,587.86554082266,171
"820534",6.07541874383866,44.2554839382189,60.9551141819758,1067.04411877498,194
"820536",6.07541874383866,44.2554839382189,60.9551141819758,1067.04411877498,194
"820544",6.07590648064701,44.2644782704914,68.2559579461673,1071.12238952574,194
"820558",6.31273386399319,44.4557985889529,91.3851606258177,945.717865150585,179
"820560",6.31273386399319,44.4557985889529,91.3851606258177,945.717865150585,179
"820564",6.13741483784146,44.4699390571902,104.128647897053,807.11128024222,175
"820605",5.94100623439572,45.772808971827,116.796273432577,952.079456225302,257
"820647",5.35892075534909,45.4081141280374,107.984375115479,1236.24598480566,257
"820704",5.35892075534909,45.4081141280374,107.984375115479,1236.24598480566,257
"820708",5.35892075534909,45.4081141280374,107.984375115479,1236.24598480566,257
"820714",5.35892075534909,45.4081141280374,107.984375115479,1236.24598480566,257
"820723",5.35892075534909,45.4081141280374,107.984375115479,1236.24598480566,257
"820730",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820731",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820732",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820742",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820743",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820745",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820751",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820753",5.34614282092163,45.4083823612598,109.479783721327,1209.63987493295,257
"820766",5.32133810956189,45.42691580688,112.900839648219,1011.88328189631,257
"820773",5.32133810956189,45.42691580688,112.900839648219,1011.88328189631,257
"820794",6.76051748156883,44.7568681009626,52.961135262828,568.183720932712,189
"820816",6.76111911035285,44.7658609617704,39.6939811094076,607.903184348135,189
"820820",6.76111911035285,44.7658609617704,39.6939811094076,607.903184348135,189
"820893",6.53743910319847,44.6290395241614,81.8655236540267,642.755867087686,174
"820901",5.54521375521066,45.5662056768168,119.409248380945,1130.67815708572,270
"820905",6.65369612634647,44.6703182070517,87.6494402155502,639.641790487143,167
"820907",5.54521375521066,45.5662056768168,119.409248380945,1130.67815708572,270
"820908",5.54521375521066,45.5662056768168,119.409248380945,1130.67815708572,270
"820912",5.54521375521066,45.5662056768168,119.409248380945,1130.67815708572,270
"820914",6.64109332783743,44.6707339107832,91.7591242171144,601.590952382843,167
"820915",6.61704262005981,44.6895477454381,94.1877231998396,547.562668624417,154
"820916",5.54521375521066,45.5662056768168,119.409248380945,1130.67815708572,270
"820920",6.61762061958393,44.6985411525791,91.8798251640235,572.127644795846,154
"820923",6.61762061958393,44.6985411525791,91.8798251640235,572.127644795846,154
"820988",6.60270838197582,44.6629790173968,96.7630177055934,576.717577971783,167
"820989",6.60270838197582,44.6629790173968,96.7630177055934,576.717577971783,167
"821007",5.53116768760707,45.5394948479858,117.944391302325,1088.30945221029,270
"821008",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821009",5.53116768760707,45.5394948479858,117.944391302325,1088.30945221029,270
"821010",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821011",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821015",6.6021331265586,44.6539856524107,85.9890803807059,721.926775363924,167
"821030",6.09504957277447,44.6152846920973,74.6487635478092,1042.79059929104,219
"821036",6.09504957277447,44.6152846920973,74.6487635478092,1042.79059929104,219
"821251",5.38916360807776,44.6237914008213,77.0495573314117,1187.25848151534,191
"821252",6.60443525039915,44.6899592772901,95.6653223698938,544.444892507663,154
"821253",6.59297584292901,44.7083564822087,92.1617781992149,577.089295374339,195
"821254",6.56889298481054,44.7271601137888,79.3149769009028,656.173410847801,195
"821256",6.5700345505791,44.7451476997551,80.3434277658732,587.53326775928,165
"821259",6.5591220593417,44.7725356550849,85.6833009985418,611.878148359856,165
"821263",6.58896839500924,44.8436728617583,65.619821693208,684.389133398681,167
"821264",6.58896839500924,44.8436728617583,65.619821693208,684.389133398681,167
"821265",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821266",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821267",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821268",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821282",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821285",5.5307570725856,45.5304947639603,118.213414259341,1060.37589212432,270
"821289",6.7599160450817,44.7478752652764,56.5336681961582,565.967998290746,189
"821303",6.76111911035285,44.7658609617704,39.6939811094076,607.903184348135,189
"821362",6.36370139349195,43.8326505383234,55.158568468891,1173.46138407085,183
"821368",6.36370139349195,43.8326505383234,55.158568468891,1173.46138407085,183
"821738",5.09240790815076,44.7829097829031,117.431905578384,862.901613833992,211
"821772",5.99846031816879,45.645137198523,64.913982290449,1401.73042473921,199
"821932",4.81107213744743,46.2559751527156,125,819.956440297384,276
"821944",6.2688930308133,44.1327832008462,112.018228939279,680.125243689463,189
"821959",4.82405013181718,46.255767898403,125,855.043421125316,275
"821969",6.18422140378117,44.6307706664171,72.5903174117055,1022.4927334331,189
"822009",4.82405013181718,46.255767898403,125,855.043421125316,275
"822012",4.82405013181718,46.255767898403,125,855.043421125316,275
"822015",4.81047690350961,46.2379702920542,125,832.385279388026,276
"822016",4.81017943321479,46.2289678494488,125,838.266484654096,276
"822018",4.81017943321479,46.2289678494488,125,838.266484654096,276
"822023",4.81017943321479,46.2289678494488,125,838.266484654096,276
"822024",4.81017943321479,46.2289678494488,125,838.266484654096,276
"822025",4.81017943321479,46.2289678494488,125,838.266484654096,276
"822027",4.82285153305635,46.2197582801322,125,893.215334028556,275
"822028",6.56140151099647,44.8085116988331,82.7934091455878,570.533961689553,170
"822029",6.54763099840622,44.7909287055299,81.2150516117227,604.121262134579,170
"822030",6.55855265196769,44.7635417063452,71.0362492709547,682.651614921884,165
"822032",6.55855265196769,44.7635417063452,71.0362492709547,682.651614921884,165
"822033",6.55855265196769,44.7635417063452,71.0362492709547,682.651614921884,165
"822034",6.53800378408439,44.6380331364758,65.5808891093981,700.935544188784,174
"822035",6.55060002344855,44.6376291795485,74.3382292732638,656.36925689167,174
"822036",6.55060002344855,44.6376291795485,74.3382292732638,656.36925689167,174
"822038",6.53743910319847,44.6290395241614,81.8655236540267,642.755867087686,174
"833879",6.8236215185835,44.7547071323438,57.2970342146711,567.885808975111,143
"833886",5.99142645911524,44.5640848321934,82.2956651638785,801.82280283603,162
"834111",6.04515740413839,44.6256802404945,35.0870458455492,1276.55796292108,182
"834148",6.8356282323936,44.7452782146018,44.1684137918364,701.647241502147,143
"834150",6.8356282323936,44.7452782146018,44.1684137918364,701.647241502147,143
"834220",6.18422140378117,44.6307706664171,72.5903174117055,1022.4927334331,189
"848802",6.54189619912704,45.5031467709949,79.0500165183012,926.985910821398,243
"848804",6.5424704939343,45.5121423908741,66.1740441254897,1065.9311860613,243
"848805",6.5424704939343,45.5121423908741,66.1740441254897,1065.9311860613,243
"848807",6.5424704939343,45.5121423908741,66.1740441254897,1065.9311860613,243
"848815",6.87038693075566,44.6989996855743,30.090709377512,822.419770766937,166
"848818",6.85777935811119,44.6994400714278,29.8798677965618,804.938166499648,166
"848870",6.76711285393693,44.6665122901152,42.4296482182039,741.713862554536,172
"848877",6.68714562383757,44.7953870827711,10.6977692107125,891.588853351835,156
