"species","sla","plant_height","seed_mass","ldmc","leaf_area","lnc_m","lpc_m","lnc_a","vcmax"
"ALCHEMILLA VULGARIS",21.24875,0.344552941,0.335714286,296.087,3216.94,25.09909091,NA,1.181203172,310.6129661
"ALCHEMILLA XANTHOCHLORA",18.75375,0.626,0.3725,226.5933333,7360.75,23.735,1.695,1.265613544,332.8097875
"ALDROVANDA VESICULOSA",NA,0.3,NA,NA,NA,NA,NA,NA,NA
"ALISMA GRAMINEUM",NA,0.33,0.426666667,NA,NA,NA,NA,NA,NA
"ALISMA LANCEOLATUM",24.985,0.6175,0.39375,120.5577778,1774.8,NA,NA,NA,NA
"ALISMA PLANTAGO-AQUATICA",29.74888889,0.7725,0.409166667,132.6083333,11979.41667,NA,NA,NA,NA
"ALKANNA MATTHIOLI",31.44,NA,3.63,NA,NA,11.2,1,0.356234097,93.67645802
"ALLIARIA PETIOLATA",38.38529412,0.636666667,2.664375,159.1428571,5161.308333,42.81,3.345476634,1.11527086,293.2751943
"ALLIUM",28.01,NA,18.5,NA,772.875,NA,NA,NA,NA
"ALLIUM AMPELOPRASUM",NA,NA,2.784,NA,NA,NA,NA,NA,NA
"ALLIUM ANGULOSUM",NA,0.3925,2.11,NA,NA,NA,NA,NA,NA
"ALLIUM CARINATUM",21.97,0.47,1.29,110,1280,22.76,NA,1.035958125,272.4188635
"ALLIUM CEPA",NA,0.894,4.0875,NA,NA,NA,NA,NA,NA
"ALLIUM COLORATUM",NA,NA,1.723333333,NA,NA,NA,NA,NA,NA
"ALLIUM COPPOLERI",NA,NA,1.62,NA,NA,NA,NA,NA,NA
"ALLIUM ERICETORUM",NA,NA,1.57,NA,NA,NA,NA,NA,NA
"ALLIUM FLAVUM",NA,NA,1.35,NA,NA,NA,NA,NA,NA
"ALLIUM LINEARE",12.01,0.25,NA,NA,675,NA,NA,NA,NA
"ALLIUM LUSITANICUM",NA,NA,2.14,NA,NA,NA,NA,NA,NA
"ALLIUM OLERACEUM",11.79,0.523636364,11.365,150,1224,NA,NA,NA,NA
"ALLIUM PANICULATUM",NA,0.5,1.366666667,NA,NA,NA,NA,NA,NA
"ALLIUM PORRUM",NA,0.644,3.4,NA,NA,NA,NA,NA,NA
"ALLIUM ROTUNDUM",NA,NA,1.16,NA,NA,NA,NA,NA,NA
"ALLIUM SATIVUM",NA,0.5225,NA,NA,NA,NA,NA,NA,NA
"ALLIUM SCHOENOPRASUM",9.6225,0.3825,0.867692308,168.72,375.4033333,NA,NA,NA,NA
"ALLIUM SCORODOPRASUM",4.65,0.707692308,1.33375,200,670.5,NA,NA,NA,NA
"ALLIUM SPHAEROCEPHALON",5.7,0.411666667,1.4385,134.155,1940.63,NA,NA,NA,NA
"ALLIUM STRICTUM",12.01,0.375,NA,NA,260,17.31,NA,1.441298918,379.0085755
"ALLIUM SUAVEOLENS",NA,0.305,1.67,NA,NA,NA,NA,NA,NA
"ALLIUM TRIQUETRUM",29.215,0.4,NA,NA,2580.75,NA,NA,NA,NA
"ALLIUM URSINUM",37.20846154,0.357777778,5.370526316,110.5,6656.666667,38.26666667,3.533333333,1.028439905,270.4418485
"ALLIUM VICTORIALIS",NA,0.48,5.47,NA,NA,NA,NA,NA,NA
"ALLIUM VINEALE",18.70142857,0.528571429,14.77,167.75,1195,NA,NA,NA,NA
"ALNUS ALNOBETULA",20.97666667,5.056666667,1.096666667,290,1916.5,25.82,NA,1.230891467,323.6791589
"ALNUS CORDATA",NA,19.75,4.59,NA,NA,NA,NA,NA,NA
"ALNUS GLUTINOSA",14.73580645,24.44666667,1.536538462,321.2285714,3283.136087,32.02392857,1.909438617,2.173205021,571.4729466
"ALNUS INCANA",16.95230769,14.65347826,0.650555556,257.82,2784.537143,34.0108,2.358493463,2.006263726,527.5735295
"ALOPECURUS AEQUALIS",24.54,0.328333333,0.234444444,171.92,341.75,NA,NA,NA,NA
"ALOPECURUS ALPINUS",NA,0.15,0.75,245.8744152,NA,8.042857143,1.7,NA,NA
"ALOPECURUS BULBOSUS",26.7974713,0.404,0.419307692,222.5899596,NA,26.65,NA,0.99449682,261.5160662
"ALOPECURUS GENICULATUS",27.581,0.37,0.299285714,210.9825,260.25,NA,NA,NA,NA
"ALOPECURUS MYOSUROIDES",27.00857143,0.53375,1.691666667,271,953.5,NA,NA,NA,NA
"ALOPECURUS PRATENSIS",22.44235294,0.668067839,0.8088,290.4494444,1282.383333,26.65733333,2.855230495,1.187813658,312.3512804
"ALOPECURUS RENDLEI",43.93,0.40875,1.28,200,NA,27.265,3.332655654,0.620646483,163.2071852
"ALTHAEA CANNABINA",NA,NA,5.49,NA,NA,NA,NA,NA,NA
"ALTHAEA HIRSUTA",24.04,0.331666667,2.525625,NA,392.4,NA,NA,NA,NA
"ALTHAEA OFFICINALIS",23.545,0.915555556,8.305714286,203.13,4066.625,NA,NA,NA,NA
"ALYSSUM ALYSSOIDES",13.896,0.140686255,0.552714545,261.9024,23.875,20.41666667,2.59875,1.469247745,386.3580887
"ALYSSUM MONTANUM",12.27,0.15,0.6,244.115,39,NA,NA,NA,NA
"ALYSSUM SIMPLEX",NA,NA,0.893333333,NA,NA,NA,NA,NA,NA
"AMARANTHUS ALBUS",NA,0.46,0.353333333,NA,NA,NA,NA,NA,NA
"AMARANTHUS BLITOIDES",18.14,0.591428571,1.116666667,NA,NA,43.2,NA,2.381477398,626.2409173
"AMARANTHUS BLITUM",NA,0.716666667,NA,NA,NA,NA,NA,NA,NA
"AMARANTHUS DEFLEXUS",NA,0.4,0.494,NA,NA,NA,NA,NA,NA
"AMARANTHUS GRAECIZANS",NA,0.565,0.412857143,NA,NA,NA,NA,NA,NA
"AMARANTHUS HYBRIDUS",15.84,0.823571429,0.490714286,NA,2139.07,35.38,5.8,2.233585859,587.3508848
"AMARANTHUS RETROFLEXUS",16.25307692,1.161875,0.4045,217.17125,3602.75,32.875,NA,2.022693928,531.8940679
"AMBROSIA ARTEMISIIFOLIA",24.81555556,0.742592593,3.996,213.13,900.445,25.5,NA,1.027581266,270.216058
"AMBROSIA TRIFIDA",22.3275,1.068888889,11.06571429,185,5202.5,44.1,NA,1.975142761,519.3898609
"AMELANCHIER OVALIS",11.2825,2.6975,51.58454545,NA,423.8,NA,NA,NA,NA
"AMELANCHIER SPICATA",19.6,5.25,4,NA,830,NA,NA,NA,NA
"AMMI MAJUS",34.44333333,0.65,0.571111111,139.8433333,77.66666667,NA,NA,NA,NA
"AMMOIDES PUSILLA",NA,NA,0.28,NA,NA,NA,NA,NA,NA
"AMMOPHILA ARENARIA",6.678888889,0.82,3.816923077,320,2155.943333,12.65,0.839110561,1.894027616,498.0595628
"AMORPHA FRUTICOSA",9.403333333,4.488888889,5.7525,NA,NA,NA,NA,NA,NA
"ANACAMPTIS CORIOPHORA",NA,0.26,NA,NA,NA,NA,NA,NA,NA
"ANACAMPTIS LAXIFLORA",NA,0.3,1040.9,NA,NA,NA,NA,NA,NA
"ANACAMPTIS PALUSTRIS",NA,0.45,0.002,NA,NA,NA,NA,NA,NA
"ANACAMPTIS PYRAMIDALIS",45,0.424,NA,110,1190,NA,NA,NA,NA
"ANACAMPTORCHIS MORIOIDES",NA,0.654,NA,NA,NA,NA,NA,NA,NA
"ANACYCLUS CLAVATUS",19.84,0.45,0.514,NA,396.3,NA,NA,NA,NA
"ANAPHALIS MARGARITACEA",14.46,0.616,0.051,296.6666667,1505,17.82,NA,1.232365145,324.0666822
"ANARRHINUM BELLIDIFOLIUM",15.09,0.635714286,0.04,194.685,665.86,NA,NA,NA,NA
"ANCHUSA ITALICA",19.04,0.955,10.98857143,120,3611.68,NA,NA,NA,NA
"ANCHUSA OFFICINALIS",23.27,0.67,5.073333333,111.245,1376.625,NA,NA,NA,NA
"ANDROMEDA POLIFOLIA",7.397692308,0.225384615,0.178571429,412.815,49.76,14.61692308,0.83,1.975876053,519.5826897
"CARDAMINE ALPINA",NA,0.11,NA,NA,NA,NA,NA,NA,NA
"ANDROPOGON DISTACHYOS",NA,0.9,0.86,NA,NA,NA,NA,NA,NA
"ANDROSACE ALPINA",20.53333333,NA,NA,NA,NA,NA,NA,NA,NA
"ANDROSACE ELONGATA",NA,0.04,0.21,NA,NA,NA,NA,NA,NA
"ANDROSACE HELVETICA",NA,0.04,NA,NA,NA,NA,NA,NA,NA
"ANDROSACE LACTEA",23.22,0.0975,NA,162.465,116.5,NA,NA,NA,NA
"ANDROSACE MAXIMA",24.26,0.053333333,1.287777778,130,87.75,NA,NA,NA,NA
"ANDROSACE OBTUSIFOLIA",NA,0.06,0.73,NA,NA,NA,NA,NA,NA
"ANDROSACE SEPTENTRIONALIS",24.51666667,0.112222222,0.1675,161.1866667,27.40333333,19.49,2.904390011,0.794969409,209.0476996
"ANDROSACE VANDELLII",NA,NA,0.42,NA,NA,NA,NA,NA,NA
"ANDROSACE VILLOSA",13.635,0.03,1,NA,9,NA,NA,NA,NA
"ANDRYALA INTEGRIFOLIA",NA,NA,0.187142857,NA,NA,NA,NA,NA,NA
"ANEMONE BALDENSIS",NA,0.064,NA,211.1973787,NA,31.62304262,NA,NA,NA
"ANEMONE CORONARIA",NA,0.1,0.476666667,NA,NA,NA,NA,NA,NA
"ANEMONE HEPATICA",28.2325,0.099722222,3.073333333,241.8634755,2887.75,15.91496259,NA,0.563710709,148.2351719
"ANEMONE NARCISSIFLORA",13.45,0.305,6.575,229.43,NA,NA,1.67,NA,NA
"ANEMONE NEMOROSA",29.7573913,0.256875,2.649259259,191.25,1871.4,24.84166667,2.042857143,0.8348066,219.523415
"ANEMONE RANUNCULOIDES",36.7,0.165714286,1.9325,182.0325,1424.13,28.7,3.2,0.782016349,205.6415215
"ANEMONE SYLVESTRIS",18.6775,0.23,NA,235,2026.583333,23.6,NA,1.263552403,332.2677832
"ANETHUM GRAVEOLENS",18.465,0.85,1.721428571,150,781.265,NA,NA,NA,NA
"ANGELICA ARCHANGELICA",18.785,1.6275,4.065,192.5,51759.9975,30.92571429,1.695433201,1.646298338,432.9158792
"ANGELICA SYLVESTRIS",27.46133333,1.102,1.280769231,201.25,5112.75,30.22375,3.866666667,1.100592955,289.4154453
"ANREDERA CORDIFOLIA",25.04,3.55,NA,NA,3189.01,NA,NA,NA,NA
"ANTENNARIA CARPATICA",15.7,0.1375,0.045,304,19,NA,NA,NA,NA
"ANTENNARIA DIOICA",17.396,0.13875,0.051428571,273.8,77.7125,14.94625,1.972469753,0.859177397,225.9320377
"ANTHEMIS",NA,NA,0.33,NA,NA,NA,NA,NA,NA
"ANTHEMIS ARVENSIS",23.425,0.288461538,0.686428571,147.182,373.645,17.01,2.13,0.726147279,190.950012
"ANTHEMIS COTULA",19.28625,5.055,0.444,162.4285714,2816.333333,32.806,NA,1.701004602,447.3016133
"ANTHEMIS CRETICA",13.96,NA,0.69,170,154.76,24.44,NA,1.750716332,460.3739691
"ANTHEMIS MARITIMA",NA,NA,1.02,NA,NA,NA,NA,NA,NA
"ANTHERICUM LILIAGO",17.82,0.403333333,5.5575,161.245,3337.25,NA,NA,NA,NA
"ANTHERICUM RAMOSUM",23.5,0.6025,3.55,161.51,1733.5,NA,NA,NA,NA
"ANTHOXANTHUM ARISTATUM",31.22,0.21,0.22,220,358.5,NA,NA,NA,NA
"ANTHOXANTHUM ODORATUM",26.61761291,0.343472654,0.458529412,268.4764767,404.6217391,21.33115079,1.941143537,0.801392329,210.7366912
"ANTHRISCUS CAUCALIS",31.22090909,0.507,1.125,191.631,3649.4,NA,NA,NA,NA
"ANTHRISCUS CEREFOLIUM",54.03,0.52,2.014285714,164.075,543.75,NA,NA,NA,NA
"ANTHRISCUS NITIDA",22.28,0.785,NA,210.3825,8628.52,NA,NA,NA,NA
